case_Link,pdf_link
https://www.courtlistener.com/docket/6245624/miss-global-organization-llc-v-mak/,https://storage.courtlistener.com/recap/gov.uscourts.cacd.697107/gov.uscourts.cacd.697107.1.0_1.pdf
https://www.courtlistener.com/docket/4537985/design-basics-llc-v-campbellsport-building-supply-inc/,https://storage.courtlistener.com/recap/gov.uscourts.wied.63328/gov.uscourts.wied.63328.1.0.pdf
https://www.courtlistener.com/docket/4402991/dutcher-v-bold-films/,https://ecf.utd.uscourts.gov/doc1/18303265990?caseid=95598
https://www.courtlistener.com/docket/4513479/versata-software-inc-v-ford-motor-company/,https://ecf.mied.uscourts.gov/doc1/09707734074?caseid=298919
https://www.courtlistener.com/docket/6014069/sophia-chloe-inc-v-brighton-collectibles-inc/,https://storage.courtlistener.com/recap/gov.uscourts.casd.397114.1.0.pdf
https://www.courtlistener.com/docket/4149022/karol-western-corp-v-smith-news-company-inc/,https://ecf.cacd.uscourts.gov/doc1/031015311795?caseid=541917
https://www.courtlistener.com/docket/6384243/richard-morrill-v-gwen-stefani/,https://storage.courtlistener.com/recap/gov.uscourts.cacd.690747/gov.uscourts.cacd.690747.1.0.pdf
https://www.courtlistener.com/docket/6080544/esplanade-productions-inc-v-the-walt-disney-company/,https://storage.courtlistener.com/recap/gov.uscourts.cacd.673265.1.0.pdf
https://www.courtlistener.com/docket/4350267/wager-v-littell/,https://ecf.nysd.uscourts.gov/doc1/127010431435?caseid=392403
https://www.courtlistener.com/docket/4227344/3lions-publishing-inc-v-juniper-networks-inc/,https://storage.courtlistener.com/recap/gov.uscourts.flmd.299861/gov.uscourts.flmd.299861.1.0.pdf
https://www.courtlistener.com/docket/4492316/unicolors-inc-v-h-m-hennes-mauritz-lp/,https://storage.courtlistener.com/recap/gov.uscourts.cacd.644533/gov.uscourts.cacd.644533.1.0_2.pdf
https://www.courtlistener.com/docket/4234430/latele-television-ca-v-telemundo-communications-group-llc/,https://storage.courtlistener.com/recap/gov.uscourts.flsd.403536.1.0.pdf
